iter	Passed	Remaining
0	50	50736
1	77	38891
2	101	33633
3	126	31567
4	153	30586
5	176	29220
6	199	28321
7	226	28093
8	253	27888
9	276	27368
10	300	27008
11	327	26973
12	350	26640
13	378	26653
14	402	26453
15	429	26402
16	465	26935
17	489	26727
18	514	26571
19	542	26577
20	595	27761
21	629	27972
22	661	28078
23	700	28472
24	745	29063
25	782	29322
26	819	29542
27	852	29582
28	894	29954
29	941	30437
30	979	30616
31	1080	32691
32	1114	32649
33	1144	32506
34	1172	32325
35	1200	32152
36	1248	32496
37	1419	35927
38	1514	37307
39	1612	38698
40	1728	40427
41	1830	41747
42	1930	42965
43	2028	44069
44	2091	44390
45	2147	44537
46	2200	44618
47	2251	44658
48	2330	45230
49	2493	47381
50	2597	48339
51	2701	49242
52	2796	49973
53	2892	50679
54	2979	51192
55	3066	51686
56	3129	51768
57	3190	51820
58	3239	51667
59	3282	51425
60	3332	51292
61	3400	51450
62	3442	51206
63	3482	50938
64	3525	50709
65	3565	50461
66	3611	50285
67	3646	49983
68	3690	49790
69	3730	49556
70	3841	50266
71	3975	51236
72	4104	52122
73	4201	52578
74	4292	52936
75	4393	53410
76	4492	53855
77	4580	54139
78	4635	54039
79	4693	53978
80	4732	53688
81	4765	53353
82	4807	53111
83	4851	52905
84	4906	52812
85	4946	52575
86	4990	52369
87	5042	52257
88	5087	52075
89	5129	51865
90	5182	51769
91	5235	51668
92	5274	51444
93	5318	51259
94	5347	50937
95	5384	50701
96	5419	50450
97	5458	50239
98	5499	50046
99	5531	49787
100	5568	49563
101	5601	49315
102	5638	49103
103	5670	48849
104	5709	48670
105	5746	48468
106	5778	48228
107	5814	48022
108	5857	47882
109	5900	47739
110	5937	47552
111	5970	47340
112	6010	47180
113	6055	47061
114	6086	46842
115	6120	46640
116	6161	46503
117	6202	46359
118	6250	46276
119	6294	46156
120	6334	46017
121	6371	45853
122	6407	45686
123	6452	45581
124	6495	45465
125	6531	45308
126	6561	45101
127	6595	44934
128	6628	44755
129	6666	44613
130	6709	44507
131	6742	44337
132	6781	44206
133	6827	44124
134	6938	44455
135	6992	44422
136	7055	44442
137	7101	44357
138	7147	44271
139	7197	44213
140	7245	44141
141	7279	43985
142	7322	43886
143	7371	43819
144	7427	43794
145	7528	44036
146	7570	43929
147	7621	43874
148	7657	43736
149	7700	43634
150	7751	43584
151	7817	43614
152	7865	43544
153	7899	43393
154	7943	43304
155	7996	43265
156	8048	43217
157	8100	43167
158	8142	43067
159	8191	43006
160	8244	42960
161	8306	42970
162	8360	42929
163	8410	42873
164	8453	42782
165	8508	42745
166	8552	42660
167	8593	42559
168	8633	42453
169	8704	42496
170	8785	42589
171	8862	42663
172	8928	42681
173	9052	42971
174	9134	43064
175	9220	43167
176	9267	43091
177	9301	42954
178	9339	42837
179	9384	42751
180	9424	42645
181	9485	42634
182	9549	42635
183	9617	42652
184	9754	42973
185	9811	42937
186	9864	42885
187	9901	42766
188	9941	42660
189	9984	42566
190	10025	42465
191	10087	42451
192	10121	42321
193	10161	42215
194	10191	42070
195	10227	41955
196	10268	41856
197	10300	41721
198	10335	41600
199	10372	41490
200	10407	41373
201	10441	41250
202	10477	41134
203	10512	41020
204	10551	40917
205	10589	40815
206	10624	40703
207	10662	40601
208	10694	40476
209	10732	40374
210	10766	40259
211	10797	40135
212	10831	40020
213	10869	39924
214	10906	39819
215	10941	39712
216	10976	39604
217	11012	39502
218	11046	39393
219	11106	39376
220	11145	39287
221	11187	39205
222	11229	39128
223	11261	39011
224	11295	38908
225	11327	38794
226	11364	38697
227	11396	38586
228	11424	38465
229	11458	38362
230	11495	38268
231	11533	38178
232	11567	38079
233	11604	37986
234	11640	37894
235	11678	37806
236	11715	37716
237	11754	37634
238	11791	37544
239	11832	37468
240	11872	37390
241	11917	37327
242	11971	37293
243	12008	37206
244	12047	37126
245	12101	37090
246	12152	37048
247	12192	36969
248	12232	36894
249	12269	36809
250	12307	36725
251	12347	36650
252	12380	36554
253	12420	36479
254	12462	36410
255	12494	36311
256	12532	36231
257	12567	36144
258	12605	36063
259	12638	35971
260	12674	35888
261	12712	35808
262	12751	35731
263	12788	35651
264	12826	35576
265	12864	35498
266	12907	35436
267	12951	35375
268	12988	35294
269	13022	35209
270	13063	35141
271	13141	35172
272	13184	35110
273	13229	35054
274	13269	34982
275	13310	34914
276	13350	34845
277	13384	34760
278	13423	34689
279	13456	34601
280	13490	34517
281	13532	34453
282	13570	34381
283	13605	34301
284	13644	34231
285	13681	34155
286	13716	34076
287	13754	34004
288	13793	33935
289	13832	33865
290	13868	33789
291	13908	33724
292	13947	33654
293	13985	33583
294	14021	33509
295	14059	33439
296	14113	33407
297	14158	33353
298	14194	33279
299	14233	33211
300	14275	33151
301	14324	33108
302	14370	33056
303	14554	33322
304	14678	33448
305	14755	33464
306	14816	33445
307	14866	33400
308	14906	33335
309	14967	33314
310	15025	33288
311	15070	33232
312	15125	33198
313	15165	33133
314	15213	33083
315	15253	33016
316	15295	32956
317	15332	32882
318	15372	32817
319	15418	32763
320	15458	32698
321	15499	32635
322	15527	32545
323	15560	32466
324	15598	32396
325	15634	32323
326	15671	32253
327	15709	32184
328	15746	32114
329	15784	32046
330	15819	31972
331	15855	31901
332	15891	31829
333	15925	31756
334	15961	31685
335	15997	31613
336	16035	31547
337	16076	31486
338	16119	31430
339	16177	31402
340	16215	31336
341	16261	31287
342	16299	31220
343	16336	31152
344	16373	31086
345	16417	31031
346	16459	30974
347	16493	30901
348	16536	30846
349	16586	30803
350	16628	30746
351	16665	30680
352	16701	30612
353	16738	30545
354	16774	30477
355	16812	30413
356	16849	30347
357	16883	30276
358	16925	30219
359	16963	30157
360	17002	30095
361	17041	30034
362	17084	29980
363	17132	29935
364	17189	29904
365	17220	29829
366	17258	29767
367	17304	29718
368	17341	29653
369	17380	29593
370	17416	29528
371	17452	29463
372	17489	29399
373	17525	29334
374	17557	29262
375	17594	29199
376	17626	29128
377	17670	29077
378	17708	29016
379	17746	28954
380	17778	28883
381	17813	28819
382	17845	28748
383	17883	28688
384	17920	28625
385	17955	28561
386	17993	28502
387	18026	28432
388	18070	28382
389	18113	28331
390	18152	28273
391	18218	28257
392	18255	28196
393	18295	28139
394	18337	28086
395	18374	28026
396	18411	27964
397	18446	27901
398	18481	27837
399	18510	27766
400	18547	27705
401	18584	27645
402	18620	27583
403	18650	27514
404	18685	27451
405	18715	27381
406	18752	27323
407	18790	27264
408	18825	27202
409	18859	27138
410	18896	27080
411	18932	27020
412	18969	26961
413	18999	26893
414	19039	26838
415	19082	26788
416	19123	26735
417	19155	26671
418	19196	26618
419	19253	26587
420	19295	26536
421	19335	26483
422	19365	26415
423	19405	26362
424	19449	26314
425	19487	26257
426	19523	26198
427	19565	26148
428	19608	26098
429	19648	26045
430	19679	25980
431	19713	25919
432	19751	25863
433	19790	25810
434	19826	25752
435	19864	25696
436	19902	25640
437	19940	25586
438	19978	25530
439	20017	25477
440	20059	25426
441	20101	25376
442	20142	25326
443	20181	25272
444	20235	25238
445	20285	25197
446	20326	25146
447	20370	25099
448	20412	25049
449	20450	24995
450	20489	24942
451	20530	24890
452	20572	24841
453	20607	24783
454	20650	24735
455	20689	24681
456	20720	24619
457	20757	24565
458	20790	24504
459	20829	24452
460	20867	24398
461	20904	24343
462	20941	24288
463	20979	24234
464	21014	24177
465	21056	24129
466	21099	24081
467	21139	24030
468	21174	23973
469	21210	23918
470	21242	23858
471	21283	23808
472	21320	23754
473	21355	23698
474	21391	23643
475	21435	23596
476	21467	23537
477	21510	23490
478	21548	23437
479	21586	23385
480	21623	23331
481	21659	23276
482	21695	23222
483	21730	23167
484	21769	23115
485	21802	23058
486	21836	23002
487	21882	22958
488	21920	22906
489	21951	22847
490	21981	22787
491	22015	22731
492	22046	22672
493	22079	22615
494	22106	22552
495	22136	22494
496	22169	22436
497	22203	22381
498	22233	22322
499	22276	22276
500	22304	22215
501	22332	22154
502	22361	22094
503	22389	22033
504	22412	21968
505	22443	21911
506	22476	21855
507	22503	21795
508	22532	21735
509	22562	21677
510	22589	21616
511	22619	21559
512	22654	21506
513	22680	21445
514	22707	21384
515	22734	21324
516	22767	21269
517	22794	21210
518	22821	21150
519	22850	21093
520	22872	21028
521	22904	20974
522	22932	20915
523	22956	20853
524	22984	20795
525	23015	20740
526	23049	20687
527	23080	20632
528	23106	20572
529	23133	20514
530	23162	20458
531	23184	20395
532	23212	20337
533	23239	20280
534	23279	20233
535	23327	20194
536	23379	20158
537	23418	20110
538	23451	20057
539	23491	20011
540	23528	19962
541	23569	19916
542	23605	19866
543	23642	19818
544	23677	19767
545	23710	19715
546	23746	19665
547	23779	19613
548	23814	19563
549	23849	19513
550	23884	19463
551	23917	19411
552	23952	19361
553	23986	19310
554	24022	19261
555	24062	19215
556	24100	19167
557	24135	19118
558	24165	19064
559	24203	19016
560	24240	18968
561	24276	18919
562	24328	18883
563	24374	18842
564	24411	18794
565	24448	18747
566	24487	18700
567	24524	18652
568	24563	18606
569	24603	18560
570	24646	18517
571	24684	18469
572	24721	18422
573	24761	18376
574	24798	18329
575	24839	18284
576	24880	18239
577	24926	18198
578	24970	18156
579	25010	18111
580	25048	18064
581	25089	18019
582	25132	17976
583	25168	17928
584	25207	17882
585	25245	17835
586	25281	17787
587	25349	17762
588	25388	17716
589	25425	17668
590	25461	17620
591	25504	17577
592	25542	17530
593	25579	17483
594	25617	17437
595	25655	17390
596	25692	17343
597	25729	17296
598	25767	17249
599	25810	17207
600	25851	17162
601	25888	17115
602	25926	17069
603	25968	17025
604	26011	16982
605	26046	16934
606	26083	16887
607	26121	16841
608	26157	16793
609	26194	16747
610	26231	16700
611	26269	16654
612	26309	16609
613	26378	16583
614	26417	16537
615	26454	16491
616	26493	16445
617	26530	16399
618	26566	16352
619	26606	16307
620	26655	16267
621	26697	16224
622	26739	16180
623	26776	16134
624	26820	16092
625	26856	16045
626	26897	16001
627	26935	15955
628	26977	15912
629	27019	15868
630	27057	15822
631	27096	15777
632	27138	15734
633	27177	15689
634	27217	15644
635	27255	15599
636	27304	15559
637	27343	15514
638	27430	15496
639	27472	15453
640	27512	15408
641	27553	15364
642	27599	15323
643	27644	15281
644	27684	15237
645	27720	15190
646	27757	15144
647	27798	15100
648	27837	15055
649	27871	15007
650	27913	14964
651	27954	14920
652	27999	14878
653	28042	14835
654	28079	14789
655	28113	14742
656	28151	14696
657	28189	14651
658	28227	14606
659	28265	14560
660	28304	14516
661	28342	14470
662	28385	14428
663	28457	14400
664	28500	14357
665	28543	14314
666	28582	14269
667	28619	14224
668	28659	14180
669	28699	14135
670	28736	14089
671	28774	14044
672	28809	13998
673	28847	13952
674	28886	13908
675	28926	13864
676	28964	13819
677	29006	13775
678	29044	13730
679	29082	13685
680	29117	13639
681	29159	13596
682	29196	13551
683	29232	13505
684	29269	13459
685	29307	13414
686	29341	13368
687	29378	13322
688	29415	13277
689	29466	13238
690	29515	13198
691	29552	13153
692	29589	13108
693	29624	13061
694	29663	13017
695	29707	12975
696	29749	12932
697	29788	12888
698	29829	12844
699	29864	12799
700	29901	12753
701	29942	12710
702	29984	12667
703	30027	12625
704	30066	12580
705	30110	12538
706	30143	12492
707	30179	12447
708	30216	12402
709	30251	12356
710	30291	12312
711	30318	12263
712	30345	12214
713	30374	12166
714	30405	12119
715	30441	12074
716	30485	12032
717	30549	11998
718	30589	11955
719	30624	11909
720	30654	11862
721	30698	11820
722	30736	11775
723	30773	11731
724	30809	11686
725	30846	11641
726	30881	11596
727	30919	11552
728	30959	11508
729	31003	11467
730	31042	11423
731	31079	11378
732	31114	11333
733	31151	11289
734	31184	11243
735	31219	11198
736	31255	11153
737	31292	11109
738	31326	11064
739	31363	11019
740	31398	10974
741	31435	10930
742	31471	10885
743	31507	10841
744	31582	10810
745	31621	10766
746	31663	10724
747	31708	10682
748	31774	10648
749	31815	10605
750	31852	10560
751	31890	10517
752	31929	10473
753	31970	10430
754	32012	10388
755	32049	10343
756	32087	10300
757	32124	10256
758	32162	10212
759	32194	10166
760	32229	10121
761	32266	10078
762	32301	10033
763	32338	9989
764	32376	9945
765	32411	9901
766	32446	9856
767	32484	9813
768	32519	9768
769	32648	9752
770	32712	9716
771	32764	9676
772	32822	9638
773	32875	9599
774	32926	9559
775	32985	9521
776	33030	9479
777	33074	9437
778	33113	9394
779	33150	9350
780	33187	9306
781	33225	9262
782	33267	9219
783	33308	9176
784	33345	9132
785	33383	9089
786	33427	9047
787	33470	9004
788	33506	8960
789	33542	8916
790	33577	8871
791	33614	8828
792	33653	8784
793	33712	8746
794	33752	8703
795	33793	8660
796	33837	8618
797	33875	8574
798	33916	8532
799	33958	8489
800	33997	8446
801	34034	8402
802	34072	8358
803	34110	8315
804	34147	8271
805	34183	8227
806	34218	8183
807	34249	8138
808	34285	8094
809	34321	8050
810	34356	8006
811	34395	7963
812	34431	7919
813	34468	7876
814	34506	7832
815	34544	7789
816	34581	7745
817	34618	7702
818	34658	7659
819	34694	7615
820	34756	7577
821	34795	7534
822	34837	7492
823	34891	7452
824	34934	7410
825	34980	7368
826	35018	7325
827	35059	7282
828	35099	7239
829	35140	7197
830	35180	7154
831	35220	7111
832	35261	7069
833	35301	7026
834	35340	6983
835	35376	6939
836	35414	6896
837	35455	6854
838	35496	6811
839	35537	6769
840	35576	6726
841	35612	6682
842	35656	6640
843	35693	6597
844	35731	6554
845	35792	6515
846	35838	6473
847	35877	6430
848	35918	6388
849	35955	6345
850	35991	6301
851	36031	6258
852	36071	6216
853	36110	6173
854	36146	6130
855	36183	6087
856	36221	6043
857	36257	6000
858	36293	5957
859	36330	5914
860	36366	5870
861	36403	5827
862	36439	5784
863	36479	5742
864	36514	5698
865	36551	5655
866	36588	5612
867	36625	5569
868	36660	5526
869	36700	5483
870	36735	5440
871	36780	5398
872	36845	5360
873	36889	5318
874	36928	5275
875	36964	5232
876	36998	5189
877	37037	5146
878	37074	5103
879	37111	5060
880	37146	5017
881	37183	4974
882	37218	4931
883	37251	4888
884	37286	4845
885	37321	4802
886	37358	4759
887	37395	4716
888	37431	4673
889	37468	4630
890	37504	4588
891	37541	4545
892	37579	4502
893	37615	4460
894	37648	4416
895	37684	4374
896	37720	4331
897	37755	4288
898	37787	4245
899	37859	4206
900	37921	4166
901	37963	4124
902	38005	4082
903	38042	4039
904	38080	3997
905	38115	3954
906	38152	3911
907	38190	3869
908	38225	3826
909	38263	3784
910	38297	3741
911	38339	3699
912	38383	3657
913	38417	3614
914	38455	3572
915	38498	3530
916	38535	3487
917	38571	3445
918	38608	3402
919	38645	3360
920	38681	3317
921	38717	3275
922	38752	3232
923	38791	3190
924	38826	3148
925	38875	3106
926	38971	3068
927	39017	3027
928	39072	2986
929	39117	2944
930	39157	2902
931	39198	2859
932	39238	2817
933	39276	2775
934	39310	2732
935	39345	2690
936	39385	2648
937	39420	2605
938	39456	2563
939	39490	2520
940	39524	2478
941	39563	2435
942	39598	2393
943	39633	2351
944	39670	2308
945	39706	2266
946	39744	2224
947	39783	2182
948	39820	2139
949	39866	2098
950	39906	2056
951	39969	2015
952	40034	1974
953	40075	1932
954	40112	1890
955	40147	1847
956	40186	1805
957	40223	1763
958	40261	1721
959	40298	1679
960	40329	1636
961	40365	1594
962	40401	1552
963	40435	1510
964	40471	1467
965	40507	1425
966	40544	1383
967	40581	1341
968	40619	1299
969	40655	1257
970	40690	1215
971	40731	1173
972	40768	1131
973	40807	1089
974	40843	1047
975	40885	1005
976	40920	963
977	40956	921
978	41004	879
979	41086	838
980	41131	796
981	41168	754
982	41205	712
983	41243	670
984	41280	628
985	41316	586
986	41352	544
987	41383	502
988	41420	460
989	41458	418
990	41495	376
991	41531	334
992	41569	293
993	41617	251
994	41667	209
995	41710	167
996	41747	125
997	41783	83
998	41821	41
999	41860	0
